transaction_id,amount,hour_of_day,country_code,is_foreign,account_age_days,txns_last_1h,is_new_device,merchant_category,is_fraud
T1005180,387.91,5,au,0,2963,5,0,travel,0
T1023584,11.44,18,AU,0,954,0,0,,0
T1028503,33.62,14,gb,1,2328,2,0,pharmacy,0
T1007199,22.31,13,AU,0,876,3,1,fuel,0
T1011826,12.11,12,AU,0,1177,0,1,travel,0
T1027117,62.23,18,NG,1,402,0,1,travel,0
T1011182,14.31,4,Au,0,455,0,0,crypto,0
T1009215,14.59,15,AU,0,2116,2,0,electronics,0
T1006608,17.91,19,AU,0,58,0,0,gaming,0
T1003679,4.44,18,AU,0,2487,1,0,electronics,0
T1026259,8.25,16,au,0,3128,0,0,groceries,0
T1013622,21.89,8,BR,1,2849,3,1,apparel,0
T1012663,30.77,14,gb,1,2571,1,1,travel,0
T1007591,204.46,15,AU,0,1267,1,0,gaming,0
T1025560,52.05,0,Au,0,959,1,0,pharmacy,0
T1012015,24.23,20,Au,0,2103,3,0,apparel,0
T1016549,27.87,18,DE,1,882,0,0,electronics,0
T1018052,44.76,6,Au,0,1967,8,1,utilities,0
T1023567,75.08,9,AU,0,2879,0,0,groceries,0
T1015553,37.63,6,au,0,3022,0,0,apparel,0
T1014284,17.47,0,AU,0,1934,2,0,gaming,0
T1027620,136.04,4,Au,0,12,0,0,fuel,0
T1028182,44.74,14,Sg,1,1959,1,0,crypto,0
T1016785,26.27,8,Au,0,723,1,0,electronics,0
T1022188,31.75,9,RU,1,1216,1,1,utilities,0
T1010312,16.7,23,AU,0,980,3,0,pharmacy,0
T1002263,17.72,5,au,0,1512,1,0,electronics,0
T1006094,38.71,13,AU,0,1962,0,0,electronics,0
T1009630,89.05,5,Au,0,3131,0,1,apparel,0
T1015113,109.67,18,AU,0,2992,0,0,crypto,0
T1027486,125.94,6,NZ,1,1293,1,0,travel,0
T1025837,16.26,2,au,0,3072,0,1,apparel,0
T1002909,33.46,15,in,1,3395,1,0,crypto,0
T1004633,13.19,9,Au,0,1703,0,0,pharmacy,0
T1016965,97.36,23,AU,0,111,0,0,pharmacy,0
T1011486,49.81,0,AU,0,425,1,0,fuel,0
T1003951,16.18,7,DE,1,257,0,0,fuel,0
T1011706,16.1,16,RU,1,3359,0,0,groceries,0
T1002899,16.94,17,AU,0,1279,0,0,groceries,0
T1009853,158.48,14,AU,0,1914,0,1,groceries,0
T1004895,78.62,11,Au,0,362,2,0,crypto,0
T1018809,15.92,10,US,1,3223,1,0,pharmacy,0
T1015902,58.49,7,AU,0,2987,2,0,groceries,0
T1012341,6.84,23,DE,1,2063,3,1,electronics,0
T1029262,102.61,8,Au,0,1708,5,0,apparel,0
T1009875,102.97,22,gb,1,3479,0,0,crypto,0
T1018109,57.26,18,au,0,3375,1,0,pharmacy,0
T1004243,14.9,5,AU,0,1194,0,0,apparel,0
T1027525,9.96,15,NG,1,2914,3,0,fuel,0
T1029643,24.43,2,Nz,1,1848,1,0,travel,0
T1005571,28.87,8,AU,0,997,0,0,pharmacy,0
T1021062,44.79,4,au,0,2429,1,0,pharmacy,0
T1002940,2.85,4,AU,0,2662,0,1,crypto,0
T1009943,49.36,16,AU,0,845,3,0,travel,0
T1009396,66.49,3,US,1,3603,3,0,electronics,0
T1006599,5.13,6,AU,0,578,0,0,,0
T1028779,26.06,22,au,0,904,1,0,utilities,0
